"Award ID/PIID","Recipient Name","Total Obligated Amount","End Date","NAICS Description","PSC Description","Awarding Agency"
"SPE4A722PA611","HONEYCOMB COMPANY OF AMERICA, INC.","0","2025-02-01 08:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRFRAME STRUCTURAL COMPONENTS","Department of Defense"
"SPE4A524F141E","RTX CORPORATION","0","2024-08-20 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS","Department of Defense"
"SPE4A524F2603","THE BOEING COMPANY","0","2027-04-29 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRFRAME STRUCTURAL COMPONENTS","Department of Defense"
"70Z03825PC0000211","GE AVIATION SYSTEMS LLC","0","2027-01-10 08:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","BOLTS","Department of Homeland Security"
"129A7320P0012","CAMP SYSTEMS INTERNATIONAL INC.","0","2020-09-29 07:00:00","AIRCRAFT MANUFACTURING","QUALITY CONTROL- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT","Department of Agriculture"
"129A7320P0017","CAMP SYSTEMS INTERNATIONAL INC.","0","2020-09-29 07:00:00","AIRCRAFT MANUFACTURING","AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT","Department of Agriculture"
"1305M325P0213","XOMETRY, INC.","0","2025-08-26 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","Department of Commerce"
"SPE4A722PB982","CAIL TOOL & MACHINERY, INC.","0","2022-07-20 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRCRAFT HYDRAULIC, VACUUM, AND DE-ICING SYSTEM COMPONENTS","Department of Defense"
"SPE4A722PC101","HERMES TECHNICAL INTERNATIONAL, INC.","0","2022-08-01 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRFRAME STRUCTURAL COMPONENTS","Department of Defense"
"SPE4A524P9613","INFINITY FABRICATION, INC.","0","2025-07-14 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRFRAME STRUCTURAL COMPONENTS","Department of Defense"
"SPE4A722PD169","H & R PARTS CO INC","0","2024-08-26 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRFRAME STRUCTURAL COMPONENTS","Department of Defense"
"15DD0A19P00000084","AIRCRAFT SPECIALISTS, INC","0","2019-09-29 07:00:00","OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION","LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES","Department of Justice"
"15DD0A21P00000035","ATLANTIC DIVING SUPPLY, INC.","0","2021-01-20 08:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","UNMANNED AIRCRAFT","Department of Justice"
"SPE4A722PE649","AIRBORNE TECHNOLOGIES, INC.","0","2023-04-19 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","AIRFRAME STRUCTURAL COMPONENTS","Department of Defense"
"15F06720F0000325","BOMBARDIER INC.","0","2020-12-30 08:00:00","AIRCRAFT MANUFACTURING","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","Department of Justice"
"SPE4A722P4964","CURTISS-WRIGHT CONTROLS, INC.","0","2022-04-28 07:00:00","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","Department of Defense"
